time,9-Resp1,9-Resp2,9-Resp3,9-Resp4,9-Resp5,9-Resp6,9-Resp7,9-Resp8,9-Resp9,9-Resp10,9-Resp11,9-Resp12,9-Resp13,9-Resp14,9-Resp15,9-Resp16,9-Resp17,9-Resp18,9-Resp19,9-Resp20,9-Resp21,9-Resp22,9-Resp23,9-Resp25,9-Resp26,9-Resp27,9-Resp28,9-Resp29,9-Resp30
1,52,49,48,55,50,40,51,44,50,58,55,50,71,61,55,48,50,54,50,44,54,46,50,44,67,50,18,48,50
2,52,50,48,55,50,40,51,44,50,58,56,50,71,60,55,48,50,54,49,44,54,46,50,44,67,50,18,48,50
3,52,50,48,55,50,40,51,44,50,59,56,50,71,60,55,48,50,54,49,44,54,46,50,44,67,50,18,48,50
4,52,50,48,55,50,40,51,44,50,60,57,50,71,60,55,48,50,54,49,44,54,46,50,44,67,50,18,48,50
5,52,50,48,55,50,40,51,44,50,62,57,50,71,60,55,48,50,54,49,44,54,46,50,44,67,50,18,37,50
6,52,50,48,55,50,40,51,44,50,63,58,50,71,60,55,48,50,54,49,44,54,46,50,44,67,50,18,29,50
7,52,50,48,55,50,40,51,44,50,63,62,50,71,60,55,48,50,54,49,44,54,46,50,44,67,50,18,23,50
8,52,50,48,55,50,40,51,44,50,63,62,50,71,60,55,48,50,54,49,44,54,46,50,44,67,50,18,19,50
9,52,50,48,55,50,40,51,44,50,63,63,50,71,60,55,48,50,54,49,44,54,46,50,45,67,50,18,19,50
10,52,50,48,55,50,40,51,44,50,63,63,50,71,60,55,48,50,54,49,44,54,46,50,45,67,50,18,19,50
11,52,50,48,55,50,40,51,44,50,63,63,50,71,60,55,48,50,54,48,44,54,46,50,45,67,50,18,19,50
12,52,50,48,55,50,40,51,44,50,63,63,50,71,60,55,48,50,54,48,44,54,46,50,45,67,50,18,19,50
13,52,50,48,55,50,40,51,44,50,58,63,50,71,60,55,48,50,54,48,44,54,46,50,45,67,50,18,19,50
14,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,50,55,48,44,54,46,50,45,67,50,18,19,50
15,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,50,54,48,44,54,46,50,45,67,50,18,19,50
16,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,50,54,48,44,54,46,50,45,67,50,18,20,50
17,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,50,51,48,44,54,46,50,45,67,50,18,20,50
18,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,50,52,48,44,54,46,50,45,67,50,18,19,50
19,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,44,51,48,44,54,46,50,45,67,50,18,19,50
20,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,43,51,48,44,54,46,50,45,67,50,18,19,50
21,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,43,51,48,44,54,46,50,45,67,50,18,19,50
22,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,44,51,48,44,54,46,50,45,67,50,18,19,50
23,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,44,51,48,44,54,46,50,45,67,50,18,20,50
24,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,45,51,48,44,54,46,50,45,67,50,18,20,50
25,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,44,51,48,44,54,46,50,45,67,50,18,20,50
26,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,44,51,48,44,54,46,50,45,67,50,18,20,50
27,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,45,51,48,44,54,46,50,45,67,50,18,20,50
28,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,45,51,48,44,54,46,50,45,67,50,18,20,50
29,52,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,44,51,48,44,54,46,50,45,67,50,18,20,50
30,57,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,45,51,48,44,54,46,50,45,67,50,18,20,50
31,56,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,44,51,48,44,54,46,50,45,67,50,18,20,50
32,56,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,45,51,48,44,54,46,50,45,67,50,18,20,50
33,56,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,44,51,48,44,54,46,50,45,67,50,18,20,50
34,56,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,45,51,48,44,54,46,50,45,67,50,18,20,50
35,56,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,45,51,48,44,54,46,50,45,67,50,18,20,50
36,57,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,44,51,48,44,54,46,50,45,67,50,18,20,50
37,57,50,48,55,50,40,51,44,50,56,63,50,71,60,55,48,44,51,48,44,54,46,50,45,67,50,18,20,50
38,57,50,48,55,50,40,51,44,50,56,63,50,71,60,55,45,44,51,48,44,54,46,50,45,67,50,18,20,50
39,57,50,48,55,50,40,51,44,50,56,63,50,71,60,55,45,44,51,31,44,54,46,50,45,67,50,18,20,50
40,57,50,48,55,50,40,51,44,50,56,63,50,71,60,55,46,45,51,31,44,54,46,50,45,67,50,18,20,50
41,59,50,48,55,50,40,51,44,50,56,63,50,71,60,55,43,44,51,31,44,54,46,50,45,67,50,18,19,50
42,59,50,48,55,50,40,51,44,50,56,63,50,71,59,55,41,45,51,31,44,54,46,50,45,67,50,18,20,50
43,61,50,48,55,50,40,51,44,50,56,63,50,71,59,55,41,44,51,31,44,54,46,50,45,67,50,18,20,50
44,69,50,48,55,50,40,51,44,50,56,63,50,71,59,55,41,44,51,31,44,54,46,50,45,67,50,18,20,50
45,67,50,48,55,50,40,51,44,50,56,63,50,71,59,55,41,44,51,31,44,54,46,50,45,67,50,18,20,50
46,67,50,48,55,50,40,51,44,50,56,63,50,71,59,55,41,44,51,31,44,54,46,50,45,67,50,18,19,50
