time,4-Resp1,4-Resp2,4-Resp3,4-Resp4,4-Resp5,4-Resp6,4-Resp7,4-Resp8,4-Resp9,4-Resp10,4-Resp11,4-Resp12,4-Resp13,4-Resp14,4-Resp15,4-Resp16,4-Resp17,4-Resp18,4-Resp19,4-Resp20,4-Resp21,4-Resp22,4-Resp23,4-Resp25,4-Resp26,4-Resp27,4-Resp28,4-Resp29,4-Resp30
1,63,67,68,73,80,79,65,70,72,73,-1,100,95,59,84,71,100,-1,60,65,72,56,89,-1,64,100,79,59,72
2,66,67,68,73,80,79,66,70,76,73,-1,100,95,61,84,71,100,-1,60,65,73,56,89,72,64,100,79,59,72
3,66,67,68,73,80,79,66,70,76,74,-1,100,95,61,84,71,100,-1,60,65,74,56,89,72,64,100,79,59,72
4,66,71,68,73,80,79,67,70,76,74,-1,100,95,61,84,71,100,-1,60,65,76,56,89,72,64,100,79,59,72
5,66,77,68,73,80,79,67,70,76,74,-1,100,95,61,84,71,100,82,60,65,76,56,89,72,64,100,88,59,72
6,66,82,68,73,80,79,67,70,76,74,-1,100,95,61,84,71,100,82,60,65,76,56,89,72,64,100,97,59,72
7,66,84,68,73,83,79,67,70,76,74,-1,100,95,61,84,77,100,82,60,65,76,56,89,72,64,100,97,59,72
8,66,84,68,71,83,79,67,70,76,74,-1,100,95,61,84,77,100,82,60,65,76,63,89,72,64,-1,97,59,72
9,-1,84,68,63,83,79,68,70,76,74,-1,100,95,61,84,77,100,100,60,65,75,63,89,73,64,-1,97,59,72
10,-1,85,68,60,83,79,68,70,76,74,-1,100,95,68,84,77,100,100,60,65,75,63,89,83,64,-1,97,59,72
11,-1,85,68,57,83,79,68,70,76,74,-1,100,95,68,84,77,100,100,60,65,75,63,89,83,64,-1,97,59,72
12,-1,85,68,57,83,79,68,70,76,74,-1,100,95,73,84,77,100,100,60,65,75,63,89,83,64,-1,97,59,72
13,-1,85,68,55,83,48,69,70,76,74,13,100,95,73,84,77,100,100,60,65,76,63,89,83,67,-1,97,59,72
14,69,85,68,54,83,48,69,70,76,74,13,100,95,73,84,77,100,100,60,65,76,63,89,83,74,-1,64,59,72
15,69,85,68,54,83,48,69,70,76,74,13,100,95,73,84,77,100,100,60,65,76,63,89,83,74,-1,64,59,72
16,69,85,68,54,83,48,71,70,76,74,13,100,95,73,84,77,100,100,60,65,77,63,89,83,76,-1,97,59,72
17,69,85,68,54,82,48,71,70,76,76,13,100,95,73,84,77,4,36,60,65,77,63,89,83,78,-1,97,59,72
18,69,85,68,54,82,48,71,70,76,78,13,100,95,76,84,77,100,100,60,65,77,63,89,83,78,-1,97,59,72
19,69,85,68,54,82,48,71,70,76,78,13,100,95,78,84,77,100,100,60,65,77,63,89,83,78,-1,97,59,72
20,69,85,68,54,82,48,71,70,76,78,-1,100,95,78,84,77,100,100,60,65,77,63,89,83,78,-1,97,58,72
21,-1,85,68,54,82,48,71,70,76,78,-1,100,95,78,84,77,100,100,60,65,77,63,89,83,78,-1,97,59,72
22,1,85,68,53,83,48,71,70,76,79,-1,100,95,78,84,77,100,100,60,65,77,63,89,83,78,-1,97,59,72
23,1,85,68,42,82,48,71,70,76,81,-1,100,95,77,84,77,100,100,60,65,77,63,89,83,78,-1,97,59,72
