time,7-Resp1,7-Resp2,7-Resp3,7-Resp4,7-Resp5,7-Resp6,7-Resp7,7-Resp8,7-Resp9,7-Resp10,7-Resp11,7-Resp12,7-Resp13,7-Resp14,7-Resp15,7-Resp16,7-Resp17,7-Resp18,7-Resp19,7-Resp20,7-Resp21,7-Resp22,7-Resp23,7-Resp25,7-Resp26,7-Resp27,7-Resp28,7-Resp29,7-Resp30
1,-1,50,33,53,49,50,-1,41,46,53,51,-1,50,63,-1,69,-1,50,50,50,50,53,54,50,51,45,49,50,50
2,-1,50,33,53,49,50,55,41,46,50,51,16,50,63,-1,69,49,49,50,50,50,53,54,50,51,45,49,50,50
3,50,50,48,53,52,50,55,41,46,50,51,52,50,63,-1,69,49,50,50,50,50,53,54,50,51,45,49,50,50
4,50,50,48,53,52,50,55,41,46,50,51,52,50,63,-1,53,49,50,50,50,50,53,54,50,51,45,49,50,50
5,50,50,48,53,52,50,55,41,46,50,51,52,50,63,-1,52,49,50,50,50,50,53,54,50,51,45,49,50,50
6,50,50,48,53,52,50,55,41,46,50,51,52,50,63,-1,52,49,50,50,50,50,53,54,50,51,45,49,50,50
7,50,50,48,53,52,50,55,41,46,50,51,52,50,63,-1,52,49,50,50,50,50,53,54,50,51,45,49,50,50
8,50,50,48,53,52,50,55,41,46,50,51,52,50,63,-1,52,49,49,50,50,50,53,54,50,51,45,49,50,50
9,50,51,48,53,52,50,55,41,50,50,51,52,50,63,39,52,49,50,50,50,50,53,54,50,51,45,49,50,50
10,50,59,48,53,52,50,55,41,50,50,51,50,50,63,39,52,49,50,50,50,50,53,54,50,51,45,49,50,50
11,50,65,48,53,52,50,55,41,50,51,51,48,50,63,39,52,49,50,50,50,50,53,54,50,51,45,49,50,50
12,50,65,48,53,52,50,55,41,50,56,51,48,50,63,39,52,49,50,50,50,50,53,54,50,51,45,49,50,50
13,50,65,48,53,52,50,55,41,50,59,51,50,50,63,39,52,49,50,50,50,50,53,54,50,51,45,49,50,50
14,50,65,48,53,52,50,55,41,50,61,51,50,50,63,39,52,49,50,50,50,50,53,54,50,51,45,49,50,50
15,50,65,48,53,52,50,55,41,50,63,51,50,50,63,39,52,49,50,50,50,50,53,54,50,51,45,49,50,50
16,48,65,59,53,52,50,55,37,50,64,51,50,50,63,-1,52,49,50,50,50,50,53,54,50,51,45,49,50,50
17,45,65,59,53,52,50,60,37,50,65,51,50,50,63,-1,52,49,51,50,50,50,53,54,50,51,45,49,50,50
18,45,76,59,53,52,50,60,37,50,64,51,50,50,63,51,52,49,51,50,50,50,53,54,50,51,45,49,50,50
19,57,76,59,53,52,50,67,37,50,65,51,50,50,63,51,52,49,51,50,50,50,53,54,50,51,45,49,50,50
20,43,76,59,53,52,50,66,37,50,65,59,50,50,63,51,52,49,51,50,50,50,53,54,50,51,45,49,50,50
21,41,76,59,53,52,50,66,37,50,65,75,50,50,63,51,52,49,52,50,50,50,53,54,50,51,45,49,50,50
22,41,76,59,53,52,50,68,37,50,64,75,50,50,63,51,52,49,52,50,50,50,53,54,50,51,45,49,50,50
23,41,76,59,53,52,50,72,37,50,65,75,50,50,63,51,52,80,52,50,50,50,53,54,50,51,45,-1,50,50
24,41,76,59,53,52,50,72,37,50,64,75,50,50,63,51,52,84,52,50,50,50,53,100,50,51,45,-1,50,50
25,46,76,27,58,52,50,72,37,50,64,75,50,50,63,-1,52,84,52,50,50,50,53,100,50,51,45,-1,50,50
26,61,76,27,66,52,50,72,37,50,66,75,50,50,63,-1,52,84,52,50,50,50,53,100,50,51,45,-1,50,50
27,68,76,27,66,52,50,72,37,50,67,75,50,50,63,51,52,84,53,50,50,50,53,96,50,51,45,-1,50,50
28,68,76,27,66,52,50,72,-1,50,67,75,50,50,63,51,52,84,55,50,50,50,53,94,50,51,45,-1,50,50
29,72,68,51,66,52,50,72,-1,50,67,75,50,50,63,51,52,84,55,50,50,50,53,94,50,51,45,-1,50,50
30,72,59,51,66,52,50,72,-1,50,65,75,50,50,63,51,52,84,55,50,50,49,53,94,50,51,45,63,50,50
31,74,59,51,66,52,50,79,-1,50,63,50,50,50,-1,51,52,84,55,50,50,49,53,94,50,51,45,63,50,50
32,74,60,51,66,52,50,79,-1,50,64,49,50,50,-1,51,52,84,54,50,50,50,53,94,50,51,45,63,50,50
33,74,60,51,66,52,50,82,-1,50,63,49,50,50,-1,51,52,84,54,50,50,50,53,94,50,51,45,63,50,50
34,74,60,51,66,42,50,82,-1,50,63,49,50,50,-1,51,52,84,56,50,50,49,53,94,50,51,45,63,50,-1
35,74,63,51,66,42,50,82,-1,50,63,49,50,50,-1,51,52,85,56,50,50,49,53,94,50,51,45,63,50,-1
36,74,63,51,66,52,50,82,-1,50,61,49,50,50,-1,51,52,86,56,50,50,49,53,94,50,51,46,63,50,-1
37,74,72,51,66,52,50,82,-1,50,63,49,50,50,-1,51,52,87,56,50,50,49,53,94,50,51,53,-1,50,-1
38,74,72,51,66,52,50,82,-1,50,63,49,50,50,-1,51,52,91,56,50,50,49,53,94,50,51,60,-1,50,-1
39,74,72,51,66,52,-1,82,-1,50,65,49,50,50,-1,51,52,91,56,50,50,50,53,94,50,51,60,-1,50,-1
40,74,72,51,66,52,-1,82,-1,50,64,49,50,50,-1,51,52,91,56,50,50,49,53,94,50,51,60,-1,50,-1
41,74,72,51,66,52,-1,82,-1,50,64,49,50,50,-1,51,52,91,56,50,50,49,53,94,50,51,60,-1,50,-1
42,74,72,51,66,52,63,82,-1,50,62,49,50,-1,-1,51,77,91,56,50,50,49,53,94,50,51,60,-1,50,-1
43,8,72,51,66,52,63,82,-1,50,65,49,50,56,-1,51,77,91,56,50,50,50,53,94,50,51,60,-1,50,-1
44,8,72,51,66,52,63,82,-1,50,63,49,50,56,-1,51,77,91,56,50,50,49,53,94,-1,51,60,-1,50,-1
45,8,72,51,66,52,63,82,-1,50,63,49,50,56,-1,51,77,91,56,50,50,50,53,94,-1,51,60,-1,50,-1
46,8,72,51,66,52,63,82,-1,50,60,49,50,56,-1,-1,77,91,56,50,50,49,53,94,-1,51,60,-1,50,-1
47,71,72,51,66,52,63,82,-1,50,63,49,50,56,-1,-1,77,91,56,50,50,50,53,94,-1,51,60,14,50,-1
48,71,72,51,66,52,63,82,-1,50,63,49,50,15,-1,-1,77,91,56,50,50,49,53,94,-1,-1,60,14,50,-1
49,71,72,51,66,52,-1,82,-1,50,63,49,50,15,-1,-1,77,91,56,50,50,49,53,94,-1,-1,60,14,50,-1
50,71,72,51,66,53,-1,82,-1,50,63,49,50,15,-1,51,77,91,56,50,50,49,53,94,-1,-1,60,14,-1,-1
51,71,72,51,66,53,-1,82,-1,50,63,49,50,15,-1,51,77,91,56,50,50,49,53,94,-1,-1,60,14,-1,-1
52,71,73,61,66,53,-1,82,-1,50,63,49,50,19,-1,63,77,91,55,50,50,49,53,94,-1,-1,60,14,-1,-1
53,71,73,61,66,52,-1,83,-1,50,63,49,50,19,-1,51,77,91,51,50,50,49,-1,94,-1,-1,58,14,-1,-1
54,71,73,29,66,52,-1,82,-1,50,63,49,50,19,-1,63,77,91,51,50,50,49,68,94,-1,-1,61,-1,-1,-1
55,71,73,61,66,52,-1,82,-1,50,62,49,50,19,-1,63,77,91,51,50,50,-1,68,94,-1,-1,61,-1,-1,3
56,71,73,61,66,52,-1,81,63,50,62,49,50,71,-1,63,77,91,51,50,50,-1,68,94,-1,-1,61,-1,-1,3
57,71,73,61,66,52,-1,81,63,50,62,49,50,71,-1,63,77,91,51,50,50,-1,68,94,-1,-1,61,-1,-1,3
58,71,73,61,66,52,63,81,63,50,62,49,50,71,-1,63,77,92,51,50,-1,-1,68,94,-1,-1,61,-1,-1,3
59,71,73,61,66,52,63,81,63,50,62,49,50,15,-1,51,77,93,51,50,-1,-1,68,94,-1,-1,61,-1,-1,3
60,71,73,61,66,52,63,80,63,50,62,49,50,15,-1,51,77,93,51,-1,-1,-1,68,79,-1,-1,61,-1,-1,3
61,71,73,61,66,52,63,80,63,50,62,49,50,15,-1,51,77,93,51,-1,-1,-1,-1,97,-1,-1,61,-1,-1,3
62,71,73,61,66,52,63,80,63,50,62,49,50,15,-1,51,77,92,51,-1,-1,-1,-1,97,-1,-1,61,-1,-1,-1
63,71,73,61,66,52,63,78,-1,50,62,49,50,15,-1,51,77,93,51,-1,-1,-1,-1,95,-1,56,61,-1,-1,-1
64,71,73,61,66,52,63,79,99,59,62,49,50,15,-1,51,77,92,51,-1,-1,-1,-1,95,-1,56,61,-1,-1,-1
65,71,73,61,66,52,-1,78,99,59,62,49,50,15,-1,51,77,92,51,-1,-1,-1,-1,41,3,56,61,-1,-1,-1
66,71,73,65,66,52,-1,79,99,63,62,49,50,-1,-1,51,77,92,51,-1,-1,-1,-1,54,3,56,61,-1,-1,-1
67,71,73,69,66,52,-1,79,99,63,62,49,50,-1,-1,51,77,92,51,-1,-1,-1,2,54,3,56,61,-1,-1,5
68,71,73,69,66,52,-1,78,99,63,62,49,50,-1,-1,51,77,92,51,-1,-1,-1,2,54,3,56,61,-1,-1,5
69,71,73,69,66,52,-1,78,99,63,66,49,50,-1,-1,51,77,92,51,-1,-1,-1,2,54,3,56,61,-1,-1,5
70,71,73,69,66,52,3,78,99,63,71,49,50,-1,-1,51,77,92,51,-1,-1,-1,2,54,3,-1,61,-1,-1,5
71,71,73,69,66,52,3,78,-1,63,71,49,50,-1,-1,51,77,92,51,-1,-1,95,2,54,3,-1,61,-1,-1,5
72,71,73,69,66,52,3,78,-1,63,72,49,50,-1,-1,63,77,92,51,-1,-1,95,2,54,-1,-1,61,-1,-1,5
73,71,77,69,66,52,3,78,-1,-1,71,49,50,-1,-1,63,77,92,51,-1,-1,95,2,54,-1,-1,61,-1,96,5
74,71,77,69,66,52,3,78,-1,-1,71,49,50,-1,-1,63,77,92,51,-1,-1,95,-1,66,-1,-1,61,-1,96,-1
75,71,77,69,66,52,3,78,-1,63,71,49,50,-1,-1,63,77,92,51,-1,-1,95,-1,82,-1,-1,61,-1,96,-1
76,-1,77,69,66,52,3,78,-1,63,71,49,50,-1,-1,71,77,92,51,-1,-1,95,-1,81,-1,-1,61,-1,96,-1
77,56,77,69,66,52,-1,79,95,63,71,49,50,-1,-1,71,77,92,51,-1,-1,95,-1,81,-1,-1,61,-1,96,-1
